dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image126_0.png,25.506474,0.9236653,0.95462996,0.8046191,0.34295532,,0.07285748,0.072025426,0.36565176,,,4.7368407,90.44159,0.325602
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image127_0.png,25.472336,0.92236674,0.9541012,0.80321646,0.3180752,,0.07307571,0.07230199,0.3641458,,,4.769943,89.37665,0.31424245
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image128_0.png,25.466616,0.9226523,0.95468616,0.80013585,0.3200961,,0.07294837,0.07212303,0.35800117,,,4.8114934,91.66278,0.32824212
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image129_0.png,25.48042,0.92216295,0.95488155,0.79766357,0.30027947,,0.07336037,0.07245022,0.35546893,,,4.820948,90.98407,0.327629
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image13_0.png,24.232231,0.7440805,0.90375566,0.72918725,0.20771961,,0.120253675,0.12539157,0.35364404,,,6.2112412,79.06415,0.20565724
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image130_0.png,25.492811,0.9200785,0.95511824,0.79908466,0.2947941,,0.073239885,0.07222503,0.3563779,,,4.8561325,91.48944,0.3266531
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image131_0.png,25.591446,0.9285063,0.9568606,0.8016842,0.31853908,,0.07290444,0.07180709,0.35704958,,,4.9520936,90.178406,0.30324617
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image132_0.png,25.648384,0.9127086,0.9580839,0.8022058,0.31182832,,0.07349084,0.072234206,0.35496974,,,5.0259533,90.238464,0.35820284
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image133_0.png,25.636454,0.9088824,0.9580222,0.7971821,0.2687944,,0.07332467,0.07206649,0.35457638,,,5.064959,90.533875,0.3486473
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image134_0.png,25.689503,0.89648014,0.9583535,0.7933792,0.23183365,,0.074265376,0.07289732,0.3521505,,,5.1616693,91.812195,0.3420704
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image135_0.png,25.736254,0.89663726,0.9603803,0.79243034,0.2350823,,0.07367262,0.07224169,0.35200968,,,5.2361255,90.99774,0.38039613
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image136_0.png,25.855366,0.8846369,0.95998836,0.79678124,0.21241489,,0.07394519,0.07250492,0.35890502,,,5.333436,90.46063,0.39098212
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image137_0.png,25.965288,0.8973076,0.9632309,0.8014859,0.2337475,,0.07304413,0.07147063,0.35960603,,,5.437884,91.16522,0.39079547
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image138_0.png,25.867264,0.881834,0.96028984,0.79129964,0.19729751,,0.07317819,0.071686,0.3600119,,,5.3451486,91.18866,0.37382334
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image139_0.png,25.962885,0.8709816,0.96302176,0.78655756,0.19126384,,0.074296035,0.072702214,0.35051954,,,5.4988503,89.30829,0.33239377
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image14_0.png,23.685503,0.6821632,0.8898247,0.70572865,0.17438623,,0.12164388,0.12866071,0.3453743,,,5.966919,78.89325,0.13967039
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image140_0.png,25.947155,0.7914199,0.95362884,0.7661447,0.15027578,,0.076230265,0.07465045,0.34065574,,,5.450679,90.46503,0.35830218
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image141_0.png,26.089418,0.7828899,0.9510177,0.75300467,0.16209655,,0.07643356,0.074727595,0.33583382,,,5.6422205,93.62323,0.36619258
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image142_0.png,26.049114,0.78621083,0.9510625,0.72831655,0.16083391,,0.07749505,0.07585028,0.3211936,,,5.5814257,97.66522,0.34526092
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image143_0.png,26.133354,0.7673447,0.9454666,0.7150946,0.15396503,,0.078083925,0.07654029,0.31762373,,,5.6430545,99.01581,0.31905136
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image144_0.png,26.173315,0.893313,0.96243745,0.72377956,0.17782517,,0.07587459,0.074237876,0.3237233,,,5.634185,102.33954,0.34060124
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image145_0.png,26.255714,0.8921043,0.96245587,0.7177004,0.17694703,,0.076867536,0.07512336,0.31956246,,,5.7839565,102.05731,0.34862176
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image146_0.png,26.404366,0.8840318,0.96296597,0.77940935,0.2243411,,0.07351209,0.071703814,0.346611,,,5.949577,96.53436,0.33836147
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image147_0.png,30.794285,0.9312702,0.96263385,0.8366949,0.31257448,,0.104066476,0.10085258,0.47194096,,,6.4490147,81.91034,0.22778875
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image148_0.png,30.742851,0.9376658,0.96381384,0.8384771,0.3118309,,0.10228963,0.09867016,0.47474426,,,6.528746,85.63837,0.19323523
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image149_0.png,30.797379,0.9378279,0.96467334,0.84202343,0.31598356,,0.100115865,0.09635739,0.47832188,,,6.609684,87.57391,0.16083749
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image15_0.png,24.398834,0.6608086,0.88221484,0.7153959,0.17692362,,0.118373446,0.12359207,0.33823952,,,6.6394196,84.10712,0.17833988
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image150_0.png,30.561756,0.9356344,0.96444106,0.8411929,0.31097475,,0.09917802,0.095369056,0.47825933,,,6.6323557,88.80585,0.15639746
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image151_0.png,30.673065,0.9349538,0.96457535,0.84090286,0.31059423,,0.098021574,0.09416364,0.479553,,,6.6700006,86.84198,0.1613596
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image152_0.png,30.525665,0.93661815,0.96441245,0.83864814,0.30565998,,0.09819977,0.094325386,0.47812858,,,6.812777,88.7287,0.20237592
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image153_0.png,30.387383,0.93452114,0.9654091,0.84121364,0.30559373,,0.09723832,0.093511246,0.48099115,,,6.9491644,86.86737,0.19185102
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image154_0.png,30.167717,0.9305906,0.96731734,0.84587765,0.3003974,,0.095319755,0.09163345,0.47821224,,,7.0773506,87.806335,0.22279741
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image155_0.png,30.33162,0.9271458,0.9689231,0.85152924,0.3047998,,0.09253606,0.088816606,0.4842269,,,7.157534,86.09784,0.24775293
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image156_0.png,30.029629,0.9247822,0.96906173,0.8508264,0.2974567,,0.09362261,0.08984008,0.4768782,,,7.1429605,86.04852,0.24761255
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image157_0.png,30.148388,0.92783487,0.96921134,0.8531505,0.30013168,,0.092994444,0.08910957,0.48639217,,,7.2124,85.681335,0.24342932
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image158_0.png,30.431406,0.93616164,0.970565,0.857243,0.3073713,,0.091765605,0.08760715,0.48836088,,,7.22865,87.25995,0.25187552
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image159_0.png,29.977102,0.91468847,0.96985435,0.8542418,0.29535556,,0.091782406,0.08788838,0.4807207,,,7.292034,83.82245,0.24812652
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image16_0.png,23.977055,0.5822779,0.8629405,0.69529307,0.15676373,,0.11531146,0.12130366,0.33790168,,,6.4066095,84.29999,0.14752759
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image160_0.png,29.932507,0.9136881,0.9700692,0.8592842,0.29878002,,0.08873662,0.08523131,0.48194364,,,7.372989,84.34149,0.2289064
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image161_0.png,29.732983,0.8828841,0.9694902,0.85940343,0.28641486,,0.085604124,0.08253588,0.483642,,,7.548537,81.27167,0.26404577
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image162_0.png,30.002405,0.9272876,0.97081304,0.8643984,0.30146092,,0.08110889,0.07792642,0.48621303,,,7.568214,86.58563,0.2051937
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image163_0.png,30.004436,0.92178667,0.9716025,0.87051785,0.29954985,,0.07743542,0.07459103,0.49325603,,,7.63531,88.26825,0.2037513
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image164_0.png,29.875225,0.9096676,0.97114563,0.87005746,0.28805012,,0.07775397,0.074950375,0.49153978,,,7.734045,86.32538,0.25192332
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image165_0.png,29.42341,0.9040942,0.9676538,0.86538666,0.2845539,,0.07900029,0.076391,0.4796961,,,7.786244,88.26776,0.22046354
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image166_0.png,29.423437,0.8922305,0.9656423,0.86590207,0.28478938,,0.07696365,0.07484955,0.48769665,,,7.7860637,86.565125,0.24113756
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image167_0.png,29.575186,0.9185131,0.9651413,0.85998106,0.30754066,,0.08033027,0.07787554,0.48012057,,,7.4454675,87.02362,0.23729154
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image168_0.png,14.328733,0.7005195,0.66838306,0.618692,0.23256825,,0.21734749,0.23075268,0.25706747,,,13.0737505,63.55829,0.30733103
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image169_0.png,14.62311,0.71205676,0.67512447,0.6204149,0.2310732,,0.21668631,0.23008376,0.25441197,,,12.855054,64.44159,0.20215109
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image17_0.png,22.719048,0.5560427,0.85253954,0.6708742,0.14858007,,0.10921761,0.11517464,0.34976196,,,5.5825496,83.94208,0.19827147
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image170_0.png,14.849467,0.7204441,0.6852092,0.6261833,0.23479445,,0.21436909,0.22800669,0.25352988,,,12.8532095,64.37665,0.23173405
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image171_0.png,15.221813,0.7332878,0.69217825,0.63256353,0.23597617,,0.21215665,0.22613972,0.25263774,,,12.675053,64.50702,0.25185484
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image172_0.png,15.58251,0.7452461,0.7077383,0.641415,0.23359558,,0.20869939,0.22224455,0.25653198,,,12.497135,63.77704,0.2078551
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image173_0.png,15.726985,0.7550498,0.7171535,0.64846843,0.23698226,,0.20628208,0.21934156,0.2600806,,,12.674142,63.925476,0.22929177
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image174_0.png,15.783028,0.74861646,0.72493076,0.6522322,0.2391486,,0.20559813,0.21826333,0.2610711,,,12.7185545,63.423523,0.23691377
