dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_411.png,32.275856,0.71829283,0.9145848,0.86027056,0.1623276,,0.05475523,0.0561415,0.74457836,,,25.806343,72.09784,0.44753173
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_412.png,33.028225,0.7947783,0.91923666,0.8596193,0.16385165,,0.07109193,0.06797261,0.6880693,,,22.62354,73.88104,0.6183525
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_413.png,29.691408,0.74048895,0.86435986,0.8049532,0.13219343,,0.111217305,0.10713129,0.56123656,,,35.405487,59.60614,0.8850736
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_414.png,29.444153,0.7387726,0.8668323,0.8113075,0.12591816,,0.10597476,0.102276646,0.5823377,,,35.440422,60.667664,0.8536204
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_415.png,30.029955,0.7588387,0.87300724,0.8055711,0.12663867,,0.10238819,0.09874821,0.58801377,,,34.537758,77.72284,0.8580404
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_416.png,30.082014,0.72736156,0.87421113,0.8047626,0.11810693,,0.098147176,0.09378719,0.59558,,,32.484653,81.21893,0.80981696
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_417.png,29.297585,0.72290003,0.8683705,0.80035686,0.11401976,,0.0992814,0.09592335,0.60005057,,,36.694878,79.7204,0.80257595
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_418.png,29.726357,0.75515693,0.8713124,0.81407124,0.12637077,,0.10432872,0.10025305,0.5866077,,,36.351852,73.76288,0.87915206
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_419.png,30.658089,0.74107677,0.8866415,0.8156664,0.12062132,,0.08657423,0.08384979,0.63834095,,,30.99924,74.21991,0.8013696
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_420.png,30.472706,0.48826456,0.85497314,0.7869758,0.16250093,,0.0720161,0.073982984,0.65534735,,,28.226206,74.93768,0.73814976
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_421.png,30.289127,0.7384429,0.8830252,0.82202953,0.13052663,,0.09321463,0.088412054,0.61722255,,,31.0697,77.81464,0.7917247
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_422.png,30.573627,0.60735977,0.8759815,0.81277144,0.14195165,,0.07127218,0.0724347,0.66321874,,,28.917023,80.01581,0.7431187
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_423.png,29.833231,0.75650054,0.8915871,0.83798355,0.115868784,,0.07417475,0.075047635,0.66065556,,,35.24654,83.90497,0.78337944
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_424.png,31.02503,0.7675047,0.9045229,0.8493675,0.12297015,,0.06448871,0.06593709,0.69769245,,,30.60941,78.06366,0.6983604
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_425.png,30.40134,0.7827853,0.90590745,0.85812575,0.13298109,,0.06682633,0.06794269,0.6909798,,,33.545742,85.50433,0.5713208
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_426.png,28.644203,0.75612116,0.86982566,0.80854094,0.11197304,,0.09772328,0.09523024,0.5949271,,,43.593525,81.94403,0.7498916
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_427.png,31.483398,0.78546625,0.88830644,0.8294091,0.1531746,,0.10376797,0.09802473,0.5773529,,,27.523354,53.147644,0.7813582
