dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_217.png,35.537155,0.8774412,0.9422749,0.93366176,0.43738273,,0.08326576,0.074019626,0.74913675,,,14.302092,33.900085,0.27159834
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_218.png,34.535854,0.85441166,0.9309332,0.92274684,0.4094607,,0.09358551,0.08350865,0.7167087,,,15.868849,35.1745,0.30312106
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_219.png,36.503387,0.8899826,0.9479632,0.938192,0.4297769,,0.07209477,0.06372252,0.7797041,,,12.651928,32.785095,0.30255648
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_220.png,30.653933,0.7657733,0.88089454,0.87164587,0.3277339,,0.14512202,0.12828167,0.6340683,,,23.926773,36.906677,0.21881166
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_221.png,31.70549,0.7931846,0.8975179,0.88924026,0.35975435,,0.13233134,0.116672605,0.66230714,,,22.037588,33.65619,0.25553176
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_222.png,29.412405,0.74037015,0.86735964,0.86508334,0.34384674,,0.16596197,0.14712761,0.5928478,,,27.98128,38.494324,0.33106104
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_223.png,32.924644,0.82234937,0.9144801,0.9078002,0.42420015,,0.12166348,0.107693635,0.6915642,,,19.454666,37.16034,0.28758568
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_224.png,31.195168,0.78452945,0.8933868,0.891326,0.3808536,,0.13883066,0.12345327,0.6537668,,,23.70813,38.627136,0.31338367
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_225.png,34.330124,0.8496672,0.92813593,0.9206466,0.4212257,,0.100528926,0.089043796,0.72787035,,,16.265463,34.719666,0.23087065
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_226.png,34.543514,0.84900016,0.9287169,0.92027587,0.39762458,,0.09627836,0.08520895,0.7266005,,,15.595309,31.184998,0.25969836
