Metric,Dataset,Config1,Config2,Mean1,Mean2,Var1,Var2,N1,N2,P-Value
S3IM,mice,sparse16_recon_all,sparse256_recon_all,0.26532576894442644,0.8339743381148179,0.004114822296020704,0.002336117937574893,274,274,0.0
S3IM,phantom,BP_phantom_8,BP_phantom_128,0.2910127608229038,0.6562618761840511,0.003887004571727731,0.0022950463630008627,469,469,0.0
S3IM,denoising,10db,50db,0.37103464986330237,0.91920574294165,0.06426902329359532,0.0013253130924784817,5084,5084,0.0
SSIM,phantom,BP_phantom_16,BP_phantom_128,0.49101763449893393,0.8122076364392324,0.002509018139593975,0.0012639813866618837,469,469,0.0
VIF,denoising,20db,40db,0.232513657134048,0.4209245369016522,0.0036917910577104343,0.011580418832225114,5084,5084,0.0
MSGMSD_norm,phantom,BP_phantom_64,BP_phantom_128,0.40315191191897654,0.24321914168443498,0.0017365767069700516,0.0012784751469810077,469,469,0.0
BRISQUE_norm,denoising,10db,50db,0.41939815316687645,0.7098139806876476,0.04580537832840666,0.0053903932853839156,5084,5084,0.0
MSGMSD_norm,mice,sparse16_recon_all,sparse256_recon_all,0.7007980635766423,0.21895935920072992,0.001262166839713832,0.003763405948020179,274,274,0.0
BRISQUE_norm,denoising,20db,30db,0.3452192242741247,0.7317828222415421,0.04561366322258461,0.02394495296171976,5084,5084,0.0
BRISQUE_norm,denoising,20db,40db,0.3452192242741247,0.7091701081852871,0.04561366322258461,0.005177288620466319,5084,5084,0.0
BRISQUE_norm,denoising,20db,50db,0.3452192242741247,0.7098139806876476,0.04561366322258461,0.0053903932853839156,5084,5084,0.0
MSGMSD_norm,mice,sparse4_recon_all,sparse256_recon_all,0.7380331584671533,0.21895935920072992,0.0016120393673261621,0.003763405948020179,274,274,0.0
SSIM,mice,sparse8_recon_all,sparse256_recon_all,0.2660147031751825,0.8712881304014599,0.004361472976700185,0.0015884499802389762,274,274,0.0
SSIM,phantom,BP_phantom_8,BP_phantom_128,0.49091353660980813,0.8122076364392324,0.0035438412391984903,0.0012639813866618837,469,469,0.0
MSGMSD_norm,phantom,BP_phantom_8,BP_phantom_64,0.6277855706183368,0.40315191191897654,0.0019646398516904927,0.0017365767069700516,469,469,0.0
MSGMSD_norm,phantom,BP_phantom_8,BP_phantom_128,0.6277855706183368,0.24321914168443498,0.0019646398516904927,0.0012784751469810077,469,469,0.0
SSIM,mice,sparse16_recon_all,sparse256_recon_all,0.2853397030656934,0.8712881304014599,0.004353322466236257,0.0015884499802389762,274,274,0.0
MSGMSD_norm,phantom,BP_phantom_16,BP_phantom_64,0.5780506029424307,0.40315191191897654,0.0018002721681915459,0.0017365767069700516,469,469,0.0
MSGMSD_norm,phantom,BP_phantom_16,BP_phantom_128,0.5780506029424307,0.24321914168443498,0.0018002721681915459,0.0012784751469810077,469,469,0.0
MSGMSD_norm,phantom,BP_phantom_32,BP_phantom_128,0.5141550897441365,0.24321914168443498,0.001668397903609045,0.0012784751469810077,469,469,0.0
MSGMSD_norm,denoising,10db,50db,0.46290537291502754,0.3597799614093234,0.007322132151386227,0.008319873851612414,5084,5084,0.0
MSGMSD_norm,denoising,10db,40db,0.46290537291502754,0.36021522802084976,0.007322132151386227,0.00831737349079716,5084,5084,0.0
MSGMSD_norm,denoising,10db,30db,0.46290537291502754,0.3602624685700236,0.007322132151386227,0.00827337446582801,5084,5084,0.0
MSGMSD_norm,mice,sparse32_recon_all,sparse256_recon_all,0.6606589436496351,0.21895935920072992,0.0026790630228505407,0.003763405948020179,274,274,0.0
BRISQUE_norm,denoising,10db,40db,0.41939815316687645,0.7091701081852871,0.04580537832840666,0.005177288620466319,5084,5084,0.0
MSGMSD_norm,denoising,10db,20db,0.46290537291502754,0.3741784476693548,0.007322132151386227,0.007805520133050606,5084,5084,0.0
SSIM,denoising,20db,50db,0.8098083477970103,0.9373450234598741,0.017050856777103197,0.0008997545668390707,5084,5084,0.0
BRISQUE_norm,denoising,10db,30db,0.41939815316687645,0.7317828222415421,0.04580537832840666,0.02394495296171976,5084,5084,0.0
SSIM,denoising,10db,20db,0.5325527302818647,0.8098083477970103,0.0589342520585812,0.017050856777103197,5084,5084,0.0
PSNR,denoising,10db,30db,29.60581889732494,33.02030952261998,7.381386633562822,8.354039081339122,5084,5084,0.0
PSNR,denoising,10db,40db,29.60581889732494,33.07034630094414,7.381386633562822,8.501819500425793,5084,5084,0.0
SSIM,denoising,10db,30db,0.5325527302818647,0.9359877121223447,0.0589342520585812,0.0008807098034763969,5084,5084,0.0
SSIM,denoising,20db,40db,0.8098083477970103,0.937265532106609,0.017050856777103197,0.0008986420966264367,5084,5084,0.0
SSIM,denoising,20db,30db,0.8098083477970103,0.9359877121223447,0.017050856777103197,0.0008807098034763969,5084,5084,0.0
PSNR,denoising,10db,50db,29.60581889732494,33.09158467486232,7.381386633562822,8.542372880734634,5084,5084,0.0
PSNR,phantom,BP_phantom_16,BP_phantom_128,17.600306798507464,30.315234364605544,8.004600841720006,4.666713195797719,469,469,0.0
SSIM,denoising,10db,50db,0.5325527302818647,0.9373450234598741,0.0589342520585812,0.0008997545668390707,5084,5084,0.0
SSIM,denoising,10db,40db,0.5325527302818647,0.937265532106609,0.0589342520585812,0.0008986420966264367,5084,5084,0.0
PSNR,phantom,BP_phantom_8,BP_phantom_128,15.621582581023455,30.315234364605544,6.602694180766692,4.666713195797719,469,469,0.0
PSNR,phantom,BP_phantom_8,BP_phantom_64,15.621582581023455,25.96061869083156,6.602694180766692,6.313478239377514,469,469,0.0
MSGMSD,mice,sparse8_recon_all,sparse256_recon_all,0.25052817324817517,0.07663577439051095,0.00012569884009790773,0.00046101721584592293,274,274,1.157e-320
MSGMSD_norm,mice,sparse8_recon_all,sparse256_recon_all,0.7157947894160586,0.21895935920072992,0.0010261129440393066,0.003763405948020179,274,274,1.157e-320
VIF,phantom,BP_phantom_16,BP_phantom_64,0.042600221366737745,0.09267357176972281,5.31473997901608e-05,0.00018948039253787567,469,469,8.6027e-320
HAARPSI,mice,sparse64_recon_all,sparse256_recon_all,0.3592848193065693,0.7739007561678832,0.0031191534163262503,0.0034430496073104486,274,274,8.33242897e-316
GMSD_norm,phantom,BP_phantom_64,BP_phantom_128,0.41669526119402983,0.24819410377398718,0.0021198915988930693,0.0017541059374906885,469,469,3.088161189e-314
GMSD,phantom,BP_phantom_64,BP_phantom_128,0.14584333858422177,0.08686793505756929,0.0002596867055459892,0.0002148779726847617,469,469,3.088170005e-314
GMSD,phantom,BP_phantom_16,BP_phantom_64,0.20606917204690833,0.14584333858422177,0.00023917099488361546,0.0002596867055459892,469,469,4.5208756496e-314
GMSD_norm,phantom,BP_phantom_16,BP_phantom_64,0.5887690694243071,0.41669526119402983,0.001952416371689429,0.0021198915988930693,469,469,4.5209949744e-314
FSIM,phantom,BP_phantom_32,BP_phantom_64,0.8560770323887044,0.9126039568368332,0.00023936780020317858,0.00019719519464559142,469,469,5.83250647e-314
SSIM,phantom,BP_phantom_16,BP_phantom_64,0.49101763449893393,0.6706381742217483,0.002509018139593975,0.0018899919954803617,469,469,1.05469866003e-312
GMSD_norm,mice,sparse4_recon_all,sparse256_recon_all,0.764913994671533,0.2471716637481752,0.0013923749041506528,0.004794142120468797,274,274,1.13664929243731e-309
GMSD,mice,sparse4_recon_all,sparse256_recon_all,0.2677198922627737,0.08651008112043795,0.0001705659049080396,0.0005872823946772497,274,274,1.136666634985166e-309
FSIM,mice,sparse16_recon_all,sparse256_recon_all,0.6902383478942863,0.8765162929664408,0.0006020819295298564,0.0001604678446018016,274,274,2.0503218373659246e-308
IWSSIM,mice,sparse32_recon_all,sparse256_recon_all,0.4365889451459854,0.9282778853284672,0.0031025635093302074,0.00045865961455709606,274,274,9.113112833014973e-307
S3IM,mice,sparse4_recon_all,sparse256_recon_all,0.2792939966089881,0.8339743381148179,0.006397802295468554,0.002336117937574893,274,274,1.1836616013624323e-305
MSSSIM,phantom,BP_phantom_64,BP_phantom_128,0.8045159962046909,0.9038631601705757,0.000871382099828271,0.00037052125047280933,469,469,2.4786819614320315e-304
GMSD_norm,mice,sparse32_recon_all,sparse256_recon_all,0.7023522697080292,0.2471716637481752,0.0022698046071854506,0.004794142120468797,274,274,1.1479540175132108e-303
GMSD,mice,sparse32_recon_all,sparse256_recon_all,0.2458232913138686,0.08651008112043795,0.0002780510254900437,0.0005872823946772497,274,274,1.1479607955117219e-303
MSSSIM,phantom,BP_phantom_8,BP_phantom_64,0.6404102495309169,0.8045159962046909,0.002403425567066378,0.000871382099828271,469,469,1.2411185648836725e-301
S3IM,mice,sparse32_recon_all,sparse256_recon_all,0.3335367723630073,0.8339743381148179,0.005772493732485633,0.002336117937574893,274,274,1.4039724547475077e-299
S3IM,phantom,BP_phantom_16,BP_phantom_64,0.3014825693044335,0.4847179539694314,0.0026033841890804677,0.00248639894365984,469,469,6.795774762371393e-299
CLIP-IQA,denoising,30db,40db,0.05669867891276553,0.0892770750751377,0.0017989226706597431,0.0019188224169291435,5084,5084,5.8300590596025524e-297
VIF,phantom,BP_phantom_64,BP_phantom_128,0.09267357176972281,0.1588245976226013,0.00018948039253787567,0.00041326098354406546,469,469,1.2437983271771626e-294
CLIP-IQA,denoising,20db,40db,0.14240247860778915,0.0892770750751377,0.007848096248002168,0.0019188224169291435,5084,5084,1.8402699962689878e-293
FSIM,mice,sparse8_recon_all,sparse256_recon_all,0.6942412040684403,0.8765162929664408,0.0006728763115713334,0.0001604678446018016,274,274,1.538778577012834e-290
IWSSIM,mice,sparse32_recon_all,sparse128_recon_all,0.4365889451459854,0.7749749450364963,0.0031025635093302074,0.002371636225846392,274,274,1.6152674447427908e-288
S3IM,phantom,BP_phantom_64,BP_phantom_128,0.4847179539694314,0.6562618761840511,0.00248639894365984,0.0022950463630008627,469,469,5.132547994996015e-288
SSIM,phantom,BP_phantom_64,BP_phantom_128,0.6706381742217483,0.8122076364392324,0.0018899919954803617,0.0012639813866618837,469,469,6.6805596874697e-288
PSNR,mice,sparse8_recon_all,sparse256_recon_all,16.881497401459853,34.278676368613134,7.8244849272808,7.12251658842054,274,274,8.258030802509164e-288
PSNR_norm,mice,sparse8_recon_all,sparse256_recon_all,0.21101871755474455,0.428483454379562,0.0012225757882337372,0.001112893234497926,274,274,8.258067161195847e-288
SSIM,mice,sparse4_recon_all,sparse256_recon_all,0.28990393664233577,0.8712881304014599,0.006945135819849961,0.0015884499802389762,274,274,1.204969617760506e-287
SSIM,mice,sparse32_recon_all,sparse256_recon_all,0.3606801163868613,0.8712881304014599,0.0059161153659443525,0.0015884499802389762,274,274,9.621146049517787e-286
GMSD_norm,mice,sparse16_recon_all,sparse256_recon_all,0.7357055562773722,0.2471716637481752,0.0009936164727146028,0.004794142120468797,274,274,1.483003723214353e-285
GMSD,mice,sparse16_recon_all,sparse256_recon_all,0.257496941459854,0.08651008112043795,0.00012171798243472754,0.0005872823946772497,274,274,1.4830389602414595e-285
GMSD_norm,mice,sparse8_recon_all,sparse256_recon_all,0.7473146181751825,0.2471716637481752,0.0007936299749678979,0.004794142120468797,274,274,9.752701459592543e-281
